dates,s1,s2,s3,s4,s5,s6
1981-09-01,1.6862698793411257,-0.7941023707389832,1.148351788520813,1.1581144332885742,2.024442672729492,1.0381073951721191
1981-09-02,1.7498935461044312,-0.7423210144042969,1.0163143873214722,1.2817612886428833,2.149032592773437,0.6015569567680359
1981-09-03,1.4752076864242554,-0.74915611743927,0.9365331530570984,1.3864291906356812,2.176158905029297,3.64652681350708
1981-09-04,1.62218976020813,-0.7245818376541138,0.9389763474464417,1.5021158456802368,2.34586238861084,3.182967185974121
1981-09-05,1.750865817070007,-0.8585713505744934,0.9936445355415344,1.8087815046310425,2.3881115913391118,3.040865898132324
1981-09-06,1.531246781349182,-0.931186318397522,1.000560641288757,2.076474189758301,2.322882652282715,3.010262250900269
1981-09-07,1.183269739151001,-0.9423678517341614,0.949712872505188,2.365159034729004,0.5501870512962341,3.4311530590057373
1981-09-08,0.937003254890442,-2.3221724033355717,0.7110936045646667,2.714841604232788,0.5100131630897522,2.6634926795959477
1981-09-09,0.562371015548706,-2.1905367374420166,0.694703221321106,2.715515375137329,0.9823449850082396,2.357335567474365
1981-09-10,0.4994321465492248,-2.0475564002990723,0.6705571413040161,2.2171835899353027,1.4171485900878906,2.1926732063293457
1981-09-11,0.5281192064285278,-2.6431431770324707,0.9085786938667296,1.9298646450042725,1.6244055032730105,2.059457540512085
1981-09-12,0.5984999537467957,-3.287360191345215,0.948862612247467,1.873513102531433,1.8240997791290283,2.437727928161621
1981-09-13,0.760495126247406,-2.8601863384246826,0.9213162064552308,1.908171534538269,1.6262602806091309,2.487485885620117
1981-09-14,0.8841542601585388,-1.9616329669952397,0.7959951162338257,1.7637853622436523,1.150802493095398,1.268695592880249
1981-09-15,1.069446086883545,-1.3517152070999146,0.7928627133369446,1.8103758096694944,1.167757511138916,1.2313960790634155
1981-09-16,0.9463678598403932,-0.4604317545890808,0.7719268202781677,1.7479194402694702,1.30704927444458,1.2755472660064695
1981-09-17,0.8148994445800781,0.1622233688831329,1.183160662651062,1.7264660596847534,1.4687427282333374,1.1711643934249878
1981-09-18,0.5850360989570618,-0.2537761032581329,1.2365463972091677,1.615944266319275,1.4727323055267334,1.2182306051254272
1981-09-19,-1.053198218345642,-0.5284140706062317,1.1821045875549316,1.6863678693771362,1.4190328121185305,1.886742115020752
1981-09-20,-0.899861752986908,-0.5717322826385498,1.149799108505249,0.8777636289596558,0.5176129937171936,1.836696982383728
1981-09-21,-0.6849448084831238,-0.3137312531471252,0.9996346235275269,0.7700814008712769,0.4784716367721557,1.808110237121582
1981-09-22,-0.4084577262401581,-0.2943668365478515,0.8416152000427246,0.8233364820480347,0.5315651893615723,1.0909534692764282
1981-09-23,-0.2103954851627349,-0.2337099611759185,0.8156821131706238,0.427506148815155,0.5468641519546509,0.4651880860328674
1981-09-24,-0.500773012638092,-2.5217537879943848,0.901863694190979,0.2926357090473175,-0.1056310832500457,0.4208888411521911
1981-09-25,-0.709625244140625,-2.788482427597046,0.4001035690307617,0.2886517941951751,-0.4359867572784424,0.437967449426651
1981-09-26,-0.7969558835029602,-2.743957757949829,-0.8395759463310242,0.195545494556427,-0.4641879498958587,0.8064550161361694
1981-09-27,-0.7627774477005005,-2.498114824295044,-0.9071860909461976,0.5533784031867981,-0.3702850341796875,0.986334502696991
1981-09-28,-0.9570786952972412,-2.251037120819092,-0.8827594518661499,-0.2779334485530853,-0.3242887556552887,-1.5824004411697388
1981-09-29,-1.7299097776412964,-1.6526991128921509,-0.9362950921058656,-0.1883520931005478,-0.5262702703475952,-1.6697481870651243
1981-09-30,-1.8812724351882932,-1.583117127418518,-0.987853705883026,0.0121160745620727,-0.7962048649787903,-1.595725655555725
1981-10-01,-1.931139707565308,-1.4722955226898191,-1.1673964262008667,0.1234193369746208,-0.8041357398033142,-0.2803564369678497
1981-10-02,-1.9896031618118288,-2.010279417037964,-1.1249656677246094,0.745615541934967,-0.2201369851827621,-1.1436338424682615
1981-10-03,-2.166602611541748,-2.9770188331604004,-1.0506126880645752,0.6586024165153503,-0.0541576631367206,-0.2655858397483825
1981-10-04,-2.122218132019043,-3.7525925636291504,-0.6743067502975464,0.6224713921546936,-0.6863256096839905,0.4637921154499054
1981-10-05,-2.306417226791382,-4.226967811584473,-0.6460612416267395,0.5871332287788391,-1.2565958499908447,1.1744626760482788
